,ACC
486,0.35675048828125
487,0.35687255859375
488,0.35540771484375
489,0.358642578125
490,0.3551025390625
491,0.35894775390625
492,0.3585205078125
493,0.35528564453125
494,0.359375
495,0.3592529296875
496,0.35797119140625
497,0.35968017578125
498,0.35809326171875
499,0.3582763671875
500,0.35968017578125
501,0.36126708984375
502,0.3616943359375
503,0.360595703125
504,0.36383056640625
505,0.36248779296875
506,0.36212158203125
507,0.3646240234375
508,0.36785888671875
509,0.36151123046875
510,0.3653564453125
511,0.3658447265625
512,0.3642578125
513,0.36572265625
514,0.366455078125
515,0.3619384765625
516,0.36297607421875
517,0.3634033203125
518,0.3653564453125
519,0.36724853515625
520,0.366943359375
521,0.367431640625
522,0.3653564453125
523,0.36761474609375
524,0.35943603515625
525,0.3651123046875
526,0.3646240234375
527,0.36285400390625
528,0.36212158203125
529,0.36370849609375
530,0.363525390625
531,0.35986328125
532,0.36273193359375
533,0.35968017578125
534,0.3609619140625
535,0.36175537109375
536,0.35919189453125
537,0.3582763671875
538,0.35919189453125
539,0.3587646484375
540,0.35797119140625
541,0.359130859375
542,0.35845947265625
543,0.3590087890625
544,0.3531494140625
545,0.3572998046875
546,0.3568115234375
547,0.35595703125
548,0.357177734375
549,0.35565185546875
550,0.357177734375
551,0.35797119140625
552,0.355712890625
553,0.3544921875
554,0.354736328125
