,PPG
1260,30472
1261,30472
1262,30512
1263,30504
1264,30512
1265,30512
1266,30488
1267,30536
1268,30552
1269,30528
1270,30544
1271,30552
1272,30544
1273,30568
1274,30584
1275,30584
1276,30592
1277,30576
1278,30496
1279,30432
1280,30336
1281,30224
1282,30128
1283,30064
1284,30040
1285,30000
1286,30000
1287,29960
1288,29976
1289,30000
1290,30000
1291,30016
1292,30088
1293,30064
1294,30096
1295,30128
1296,30168
1297,30168
1298,30176
1299,30152
1300,30176
1301,30200
1302,30192
1303,30200
1304,30200
1305,30192
1306,30176
1307,30136
1308,30152
1309,30128
1310,30128
1311,30104
1312,30120
1313,30136
1314,30120
1315,30136
1316,30136
1317,30168
1318,30152
1319,30176
1320,30160
1321,30208
1322,30208
1323,30248
1324,30224
1325,30248
1326,30256
1327,30280
1328,30280
1329,30288
1330,30312
1331,30312
1332,30304
1333,30320
1334,30320
1335,30312
1336,30304
1337,30328
1338,30312
1339,30304
1340,30304
1341,30304
1342,30344
1343,30336
1344,30304
1345,30344
1346,30328
1347,30328
1348,30320
1349,30352
1350,30360
1351,30360
1352,30360
1353,30352
1354,30392
1355,30376
1356,30408
1357,30384
1358,30408
1359,30408
1360,30416
1361,30432
1362,30432
1363,30416
1364,30448
1365,30464
1366,30456
1367,30456
1368,30456
1369,30480
1370,30472
1371,30472
1372,30496
1373,30504
1374,30528
1375,30552
1376,30520
1377,30552
1378,30552
1379,30576
1380,30528
1381,30544
1382,30520
1383,30480
1384,30368
1385,30264
1386,30208
1387,30136
1388,30104
1389,30056
1390,30032
1391,30016
1392,30056
1393,30040
1394,30136
1395,30160
1396,30184
1397,30200
1398,30216
1399,30232
1400,30256
1401,30256
1402,30264
1403,30272
1404,30304
1405,30336
1406,30296
1407,30312
1408,30296
1409,30280
1410,30304
1411,30264
1412,30208
1413,30216
1414,30200
1415,30208
1416,30200
1417,30192
1418,30208
1419,30200
1420,30256
1421,30232
1422,30280
1423,30248
1424,30288
1425,30320
1426,30304
1427,30336
1428,30368
1429,30336
1430,30360
1431,30368
1432,30392
1433,30392
1434,30400
1435,30416
1436,30424
1437,30400
1438,30408
1439,30424
1440,30416
1441,30432
1442,30408
1443,30432
1444,30408
1445,30440
1446,30448
1447,30424
1448,30416
1449,30424
1450,30440
1451,30432
1452,30440
1453,30464
1454,30504
1455,30472
1456,30480
1457,30456
1458,30472
1459,30456
1460,30512
1461,30520
1462,30512
1463,30528
1464,30512
1465,30520
1466,30544
1467,30560
1468,30528
1469,30552
1470,30568
1471,30592
1472,30568
1473,30600
1474,30600
1475,30608
1476,30640
1477,30624
1478,30616
1479,30640
1480,30584
1481,30528
1482,30408
1483,30296
1484,30208
1485,30136
1486,30080
1487,30064
1488,30064
1489,30056
1490,30064
1491,30056
1492,30104
1493,30160
1494,30192
1495,30176
1496,30216
1497,30232
1498,30224
1499,30216
1500,30248
1501,30248
1502,30248
1503,30272
1504,30264
1505,30304
1506,30304
1507,30280
1508,30280
1509,30256
1510,30248
1511,30232
1512,30216
1513,30224
1514,30184
1515,30216
1516,30224
1517,30232
1518,30224
1519,30256
1520,30240
1521,30256
1522,30256
1523,30288
1524,30312
1525,30328
1526,30320
1527,30344
1528,30336
1529,30368
1530,30328
1531,30384
1532,30376
1533,30400
1534,30392
1535,30384
1536,30416
1537,30400
1538,30408
1539,30400
1540,30400
1541,30416
1542,30416
1543,30432
1544,30416
1545,30432
1546,30432
1547,30408
1548,30424
1549,30440
1550,30464
1551,30432
1552,30456
1553,30472
1554,30448
1555,30472
1556,30464
1557,30488
1558,30488
1559,30480
1560,30496
1561,30520
